0000001|Avengers Infinty War|Action|Big boi thanos is coming|Disney|America|20180426|123455676|124|English|1
0000019|Metropolis|Drama,ScienceFiction|In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.| Paramount Pictures,Universum Film (UFA)|Germany|19270110|1343|153|English|1
0000020|My Life Without Me|Drama,Romance|A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.| El Deseo,Milestone Productions|Canada,Spain|20030307|20097|106|English|0
0000021|The Endless Summer|Documentary|The Endless Summer, by Bruce Brown, is one of the first and most influential surf movies of all times. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which back in 1965 was off-season for surfing) in search of the perfect wave and an endless summer.| Bruce Brown Films|United States of America|19660615|0|95|English|1
0000022|Pirates of the Caribbean: The Curse of the Black Pearl|Adventure,Fantasy,Action|Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.| Walt Disney Pictures,Jerry Bruckheimer Films|United States of America|20030709|0|143|English,German|2
0000024|Kill Bill: Vol. 1|Action,Crime|An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.| Miramax Films,A Band Apart,Super Cool ManChu|United States of America|20031010|373861|111|English|1
0000025|Jarhead|Drama,War|Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.| Universal Pictures,Neal Street Productions,Red Wagon Entertainment,Motion Picture KAPPA Produktionsgesellschaft|Germany,United States of America|20051104|0|125|Japanese|2
0000026|Walk on Water|Drama|Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country during which, Axel challenges Eyal's values.| Lama Films,United King Films|Israel,Sweden|20040205|0|103|English|0
0000027|9 Songs|Drama,Music,Romance|Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.| Revolution Films|United Kingdom|20040716|3253|66|English|0
0000028|Apocalypse Now|Drama,War|"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."| United Artists,Zoetrope Studios|United States of America|19790815|184835|153|French|0
0000030|Magnetic Rose|Animation,ScienceFiction|Koji Morimato’s animated science fiction short story about how the boarder between reality and illusion on a space station become blurry.| Studio °C|Japan|19951223|0|44|English|0
0000033|Unforgiven|Western|William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.| Malpaso Productions,Warner Bros.|United States of America|19920807|0|131|Chinese|2
0000035|The Simpsons Movie|Animation,Comedy,Family|After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.| Gracie Films,Twentieth Century Fox Film Corporation|United States of America|20070725|1088985|87|English|0
0000038|Eternal Sunshine of the Spotless Mind|ScienceFiction,Drama,Romance|Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.| Anonymous Content,This Is That Productions,Focus Features|United States of America|20040319|149293|108|English|1
0000055|Amores perros|Drama,Thriller|Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.| Altavista Films,Zeta Film|Mexico|20000616|43199|154|French|1
0000058|Pirates of the Caribbean: Dead Man's Chest|Adventure,Fantasy,Action|Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.| Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions|United States of America|20060620|2201776|151|English|0
0000059|A History of Violence|Drama,Thriller,Crime|An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.| New Line Cinema,DC Comics,BenderSpink|United States of America,Canada,Germany|20050923|0|96|English|2
0000062|2001: A Space Odyssey|ScienceFiction,Mystery,Adventure|Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.| Stanley Kubrick Productions,Metro-Goldwyn-Mayer (MGM)|United States of America,United Kingdom|19680410|0|149|Japanese|2
0000063|Twelve Monkeys|ScienceFiction,Thriller,Mystery|In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.| Universal Pictures,Atlas Entertainment,Classico|United States of America|19951229|0|129|English|2
0000064|Talk to Her|Drama,Romance|Two men share an odd friendship while they care for two women who are both in deep comas.| Vía Digital,Good Machine,El Deseo S.A.,Antena  Televisión|Spain|20020314|0|112|English|2
0000065|8 Mile|Drama|"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke."| Imagine Entertainment,Mikona Productions GmbH & Co. KG|United States of America|20021108|444214|110|English|0
0000066|Absolute Power|Crime,Drama,Thriller|A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.| Columbia Pictures,Castle Rock Entertainment,Malpaso Productions|United States of America|19970214|0|121|English|2
0000067|Paradise Now|Thriller,Crime,Drama|Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.| Lama Films,Augustus Film,Lama Productions,Lumer Films,Hazazah Film,Filmstiftung Nordrhein-Westfalen,Razor Film Produktion GmbH,Eurimages,Nederlands Fonds voor de Film,Arte France Cinéma,Medienboard Berlin-Brandenburg|Palestinian Territory,France,Germany,Israel,Netherlands|20050214|6936|90|English|0
0000068|Brazil|Comedy,ScienceFiction|Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.| Embassy International Pictures|United Kingdom|19850220|0|132|English|0
0000069|Walk the Line|Drama,Music,Romance|A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.| Tree Line Films,Konrad Pictures,Catfish Productions,Fox  Pictures,Mars Media Beteiligungs|Germany,United States of America|20050913|385204|136|German|1
0000070|Million Dollar Baby|Drama|Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.| Lakeshore Entertainment,Malpaso Productions,Epsilon Motion Pictures,Warner Bros.,Albert S. Ruddy Productions|United States of America|20041215|0|132|German|2
0000071|Billy Elliot|Drama,Comedy,Music|Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!| BBC Films,Tiger Aspect Productions,StudioCanal,Arts Council of England,Working Title Films,WT Productions|France,United Kingdom|20000518|227272|110|English|1
0000073|American History X|Drama|Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.| New Line Cinema,The Turman-Morrissey Company,Savoy Pictures|United States of America|19981030|49328|119|English|1
0000074|War of the Worlds|Adventure,Thriller,ScienceFiction|Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.| Paramount Pictures,DreamWorks SKG,Cruise/Wagner Productions,Amblin Entertainment|United States of America|20050628|1222602|116|English|0
0000075|Mars Attacks!|Comedy,Fantasy,ScienceFiction|'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.| Tim Burton Productions|United States of America|19961212|0|106|Danish|2
0000076|Before Sunrise|Drama,Romance|A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.| Detour Film Production,Warner Bros.|Austria,Switzerland,United States of America|19950127|11436|105|English|0
0000077|Memento|Mystery,Thriller|Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.| Summit Entertainment,Newmarket Capital Group,Team Todd,I Remember Productions|United States of America|20001011|0|113|English,Italian|2
0000078|Blade Runner|ScienceFiction,Drama,Thriller|In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.| Shaw Brothers,Warner Bros.,The Ladd Company|United States of America,Hong Kong,United Kingdom|19820625|68470|117|English|0
0000079|Hero|Drama,Adventure,Action,History|One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.| Beijing New Picture Film Co. Ltd.,China Film Co-Production Corporation|China|20021219|366517|99|English|0
0000080|Before Sunset|Drama,Romance|Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.| Castle Rock Entertainment,Detour Film Production,Warner Independent Pictures (WIP)|United States of America|20040210|0|80|German|2
0000081|Nausicaä of the Valley of the Wind|Adventure,Animation,Fantasy|After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.| Topcraft|Japan|19840311|6821|117|Italian|0
0000082|Miami Vice|Action,Adventure,Crime,Thriller|Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.| Universal Pictures,Forward Pass,Motion Picture ETA Produktionsgesellschaft,Foqus Arte Digital,Metropolis Films|Uruguay,United States of America,Germany,Paraguay|20060727|338418|134|English,Italian,Spanish|1
0000083|Open Water|Drama,Thriller|Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...| Plunge Pictures LLC|United States of America|20040806|0|79|English|2
